miRNA	transcript
hsa-let-7a-1	MIRLET7A1HG
hsa-let-7a-2	MIR100HG
hsa-let-7a-3	MIRLET7BHG
hsa-let-7b	MIRLET7BHG
hsa-let-7c	MIR99AHG
hsa-let-7d	MIRLET7A1HG
hsa-let-7e	SPACA6
hsa-let-7f-1	MIRLET7A1HG
hsa-let-7f-2	HUWE1
hsa-let-7g	WDR82
hsa-let-7i	AC048341.1
hsa-mir-1-1	MIR1-1HG
hsa-mir-1-2	MIR133A1HG
hsa-mir-100	MIR100HG
hsa-mir-101-1	JAK1
hsa-mir-101-2	RCL1
hsa-mir-103a-1	PANK3
hsa-mir-103a-2	PANK2
hsa-mir-105-1	GABRA3
hsa-mir-105-2	GABRA3
hsa-mir-106a	AC002407.1
hsa-mir-106b	MCM7
hsa-mir-107	PANK1
hsa-mir-10a	AC103702.1
hsa-mir-10a	HOXB3
hsa-mir-10b	HOXD3
hsa-mir-1178	CIT
hsa-mir-1180	B9D1
hsa-mir-1205	PVT1
hsa-mir-1206	PVT1
hsa-mir-122	MIR122HG
hsa-mir-1225	PKD1
hsa-mir-124-1	MIR124-1HG
hsa-mir-124-2	MIR124-2HG
hsa-mir-1254-1	CCAR1
hsa-mir-125a	SPACA6
hsa-mir-125b-1	MIR100HG
hsa-mir-125b-2	MIR99AHG
hsa-mir-126	EGFL7
hsa-mir-1266	MYO5C
hsa-mir-127	AL117190.1
hsa-mir-128-1	R3HDM1
hsa-mir-128-2	ARPP21
hsa-mir-129-2	AC068205.1
hsa-mir-129-2	AC068205.2
hsa-mir-1290	ALDH4A1
hsa-mir-1292	NOP56
hsa-mir-1302-10	AC140725.1
hsa-mir-1302-11	AC008993.3
hsa-mir-1302-2	MIR1302-2HG
hsa-mir-1302-3	AL078621.2
hsa-mir-1302-4	AC009226.1
hsa-mir-1302-5	RIPOR3
hsa-mir-1302-9	MIR1302-9HG
hsa-mir-1305	TENM3
hsa-mir-1305	AC108142.1
hsa-mir-1307	ATP5MD
hsa-mir-130a	AP000662.1
hsa-mir-130b	AP000553.1
hsa-mir-133a-1	MIR133A1HG
hsa-mir-133a-2	MIR1-1HG
hsa-mir-135a-1	GLYCTK-AS1
hsa-mir-135a-2	RMST
hsa-mir-135b	BLACAT1
hsa-mir-135b	LEMD1
hsa-mir-136	AL117190.1
hsa-mir-137	MIR137HG
hsa-mir-139	PDE2A
hsa-mir-140	WWP2
hsa-mir-141	MIR200CHG
hsa-mir-142	AC004687.1
hsa-mir-143	CARMN
hsa-mir-144	AC024267.1
hsa-mir-145	CARMN
hsa-mir-1469	NR2F2
hsa-mir-146a	MIR3142HG
hsa-mir-147b	C15orf48
hsa-mir-148b	AC078778.1
hsa-mir-148b	COPZ1
hsa-mir-149	GPC1
hsa-mir-151a	PTK2
hsa-mir-152	COPZ2
hsa-mir-1537	LYST
hsa-mir-155	MIR155HG
hsa-mir-15a	DLEU2
hsa-mir-15b	SMC4
hsa-mir-16-1	DLEU2
hsa-mir-16-2	SMC4
hsa-mir-17	MIR17HG
hsa-mir-181a-1	MIR181A1HG
hsa-mir-181a-2	MIR181A2HG
hsa-mir-181b-1	MIR181A1HG
hsa-mir-181b-2	MIR181A2HG
hsa-mir-181c	NANOS3
hsa-mir-181d	NANOS3
hsa-mir-185	TANGO2
hsa-mir-186	ZRANB2
hsa-mir-188	CLCN5
hsa-mir-18a	MIR17HG
hsa-mir-18b	AC002407.1
hsa-mir-1908	FADS1
hsa-mir-190b	TPM3
hsa-mir-191	DALRD3
hsa-mir-1912	HTR2C
hsa-mir-192	MIR194-2HG
hsa-mir-193b	MIR193BHG
hsa-mir-194-2	MIR194-2HG
hsa-mir-195	MIR497HG
hsa-mir-195	AC040977.2
hsa-mir-196a-1	HOXB7
